original_title,original_review,cleaned_text,rating,date,language
Best pizza in town,"The crust was perfectly crispy on the outside and chewy inside. Their signature pepperoni pizza had the perfect ratio of sauce to cheese, and the pepperoni curled up into little cups of deliciousness. Will definitely be back!",good pizza town crust perfectly crispy outside chewy inside signature pepperoni pizza perfect ratio sauce cheese pepperoni curl little cup deliciousness definitely,5,2024-03-15,en
Disappointed with service,"While the pizza itself was decent, we waited over an hour for delivery despite being told it would be 30 minutes. When it finally arrived, it was barely warm. The flavors were good but the experience ruined it.",disappoint service pizza decent wait hour delivery despite tell minute finally arrive barely warm flavor good experience ruin,2,2024-02-20,en
Authentic Italian experience,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy.",authentic italian experience place remind pizzeria Naples wood fire Margherita pizza perfect char fresh basil buffalo mozzarella melt mouth owner come chat Italy,5,2024-01-05,en
Overpriced for what you get,"$24 for a medium pizza with just two toppings seems excessive. The ingredients were fresh and the crust was good, but nothing justified the premium price. There are better values elsewhere in town.",overpriced medium pizza topping excessive ingredient fresh crust good justify premium price well value town,3,2024-03-01,en
Great gluten-free option,"As someone with celiac disease, finding good gluten-free pizza is a challenge. Their cauliflower crust was one of the best I've had - doesn't fall apart and has a nice flavor. Toppings were generous too.",great gluten free option celiac disease find good gluten free pizza challenge cauliflower crust good fall apart nice flavor topping generous,4,2024-02-15,en
Family night favorite,"We bring our kids here every Friday night. The staff always make them feel special, providing dough for them to play with while we wait. Their kid-sized pizzas are perfect, and the parents love the craft beer selection.",family night favorite bring kid Friday night staff feel special provide dough play wait kid sized pizza perfect parent love craft beer selection,5,2024-03-10,en
Greasy and disappointing,"I had high hopes based on the reviews, but my pizza was swimming in grease. The crust was undercooked in the center, and the promised 'fresh vegetables' looked and tasted canned. Such a letdown.",greasy disappointing high hope base review pizza swim grease crust undercooked center promise fresh vegetable look taste canned letdown,2,2024-01-25,en
Hidden gem for vegans,"I can't believe how good their vegan pizza is! They make their own cashew cheese that actually melts properly, and their vegetable toppings are always fresh and seasonal. Even my non-vegan friends love it.",hidden gem vegan believe good vegan pizza cashew cheese actually melt properly vegetable topping fresh seasonal non vegan friend love,5,2024-02-28,en
Mediocre at best,"Nothing terrible but nothing special either. The crust was okay, toppings were standard, and service was fine. It's the kind of place you go when you're in the area, but wouldn't make a special trip for.",mediocre good terrible special crust okay topping standard service fine kind place area special trip,3,2024-03-05,en
Late night savior,"Open until 2am on weekends, this place has saved me many times after a night out. Their slices are huge, reheated perfectly crisp, and they have creative toppings that hit the spot when you're hungry late at night.",late night savior Open weekend place save time night slice huge reheat perfectly crisp creative topping hit spot hungry late night,4,2024-01-15,en
